乾宮三陽無量光、乾宮八卦藏天機,　乾宮三陽無量光、乾宮八卦藏天機,　乾宮三陽無量光、乾宮八卦藏天機,,,,,,"天德天師德滿天，常臥法界法平等，
　  一畫開天二畫地，立基天下定太平。",,,
坤宮大地無邊際、坤宮八卦載萬物,　坤宮大地無邊際、坤宮八卦載萬物,　坤宮大地無邊際、坤宮八卦載萬物,,,,,,地坤天師度量大，山河大海皆包容，,萬生萬物藉此生，祖孫同堂卜其昌。,　地坤天師度量大，山河大海皆包容，,　萬生萬物藉此生，祖孫同堂卜其昌。
水雷屯卦多積徳,　水雷屯卦多積徳,　水雷屯卦多積徳,,,,,,水雷天師萌生機，耐心修心發善心，,亂絲無頭慢思慮，用智用心厄皆除。,　水雷天師萌生機，耐心修心發善心，,　亂絲無頭慢思慮，用智用心厄皆除。
山水蒙卦從教育,　山水蒙卦從教育,　山水蒙卦從教育,,,,,,山水天師教育家，有教無類皆平等，,宿世親友有情深，啟蒙事業最有恆。,　山水天師教育家，有教無類皆平等，,　宿世親友有情深，啟蒙事業最有恆。
水天需卦修智慧,　水天需卦修智慧,　水天需卦修智慧,,,,,,水天天師甘露霖，滋生養靈養自心，,法雨加持永不停，啟示法輪漸漸興。,　水天天師甘露霖，滋生養靈養自心，,　法雨加持永不停，啟示法輪漸漸興。
天水訟卦勿爭訟,　天水訟卦勿爭訟,　天水訟卦勿爭訟,,,,,,天水天師大慈悲，不忍眾生苦難受，,甘露天降適天機，化解眾怨名天師。,　天水天師大慈悲，不忍眾生苦難受，,　甘露天降適天機，化解眾怨名天師。
地水師卦修智慧,　地水師卦修智慧,　地水師卦修智慧,,,,,,地水天師修好合，能饒人時得饒人，,勿結惡緣惟上策，留得退路保無憂。,　地水天師修好合，能饒人時得饒人，,　勿結惡緣惟上策，留得退路保無憂。
水地比卦相親輔,　水地比卦相親輔,　水地比卦相親輔,,,,,,水地天師相親輔，友愛誠信不欺凌，,人我相信諸緣生，共渡苦厄禍不侵。,　水地天師相親輔，友愛誠信不欺凌，,　人我相信諸緣生，共渡苦厄禍不侵。
風天小畜沙成塔,　風天小畜沙成塔,　風天小畜沙成塔,,,,,,風天天師雲漸開，無影無遮光明來，,凡塵百事由身惹，放下惡念無罣碍。,　風天天師雲漸開，無影無遮光明來，,　凡塵百事由身惹，放下惡念無罣碍。
天澤履卦修禮節,　天澤履卦修禮節,　天澤履卦修禮節,,,,,,天澤天師潤無邊，法筵如海普三千，,天光澤平映法界，見性自知証如來。,　天澤天師潤無邊，法筵如海普三千，,　天光澤平映法界，見性自知証如來。
